Gene,baseMean,log2FoldChange,pvalue,padj
BACE2|25825,929.4846207,2.141118567,1.76381789661084E-07,1.19670360210082E-06
NUP37|79023,587.9587518,2.141000682,7.07658274680367E-19,3.81357460307859E-17
NCF2|4688,654.3268987,2.140190937,2.1317017549887E-08,1.78465256736012E-07
CASP8|841,442.6988811,2.1385151,9.9824270294535E-13,1.91212547141141E-11
LYPLA1|10434,2755.801939,2.134889947,2.97684883226745E-12,5.24866884146314E-11
SNAI2|6591,422.3574182,2.134715101,9.34825008215539E-05,0.000346189660260543
LIMD1|8994,1665.161198,2.134492433,1.03065906403296E-12,1.97226018711624E-11
CCL5|6352,256.6253873,2.133219073,3.10581367305384E-05,0.000128668470660514
FNDC3B|64778,1683.899099,2.131929097,2.04438427808671E-12,3.72020078679382E-11
CST7|8530,54.73072842,2.130803873,3.10951375709979E-05,0.000128794096759068
TMEM100|55273,1137.20781,2.129975605,9.82429300423589E-05,0.000362057294151139
NCF4|4689,443.4758789,2.128425984,8.52566244736265E-08,6.21040418984812E-07
HTRA3|94031,325.4520132,2.126138333,1.3429989144941E-05,6.03663352097036E-05
PDLIM1|9124,1248.780874,2.124073828,1.87128641436125E-07,1.26251289425023E-06
CTSW|1521,44.13589716,2.123660018,0.000131214188458468,0.000469571517843299
UBQLNL|143630,23.06459506,2.123085868,0.000130289795666829,0.000466599053943315
LOC286467|286467,39.09644254,2.119666167,8.55881054033338E-06,4.01876573788926E-05
ARHGDIB|397,5460.470463,2.11851969,3.12884752499728E-11,4.56868583721972E-10
ERAP2|64167,1313.136805,2.117826738,0.000454667397502854,0.00142927205205445
DHRSX|207063,1147.77941,2.116333136,4.64122334387289E-17,1.921127834334E-15
ZNF683|257101,8.811851987,2.116182343,0.00291525436018612,0.0074986453331951
SAMD9L|219285,1757.354351,2.115378377,1.81798255873081E-06,9.91435272133404E-06
RPS15A|6210,13836.93556,2.114930969,1.79313869866791E-10,2.28152060412964E-09
ARHGEF19|128272,118.2002199,2.114786083,9.16832980333737E-07,5.32353743457479E-06
CALU|813,10865.67833,2.113728487,5.24997318860523E-10,6.07114705245841E-09
CASZ1|54897,189.4246036,2.109834668,1.07293741698575E-06,6.13575150792711E-06
LGALS1|3956,14261.18924,2.109811171,2.0374964656473E-07,1.36320739944054E-06
ALPK2|115701,105.8027353,2.109645559,0.0165081997796334,0.034645486405108
TMEM218|219854,1097.559328,2.109392605,2.60163033347743E-14,6.56843553696939E-13
LCK|3932,48.28169786,2.108156159,0.000348392920152072,0.00112377107639019
ACTA2|59,3698.00796,2.10690067,5.77544431099708E-06,2.83034922039692E-05
RARRES3|5920,2460.197281,2.105811081,2.53860939766409E-05,0.000107219699302699
MFNG|4242,883.3383737,2.103391314,1.16028949842973E-11,1.83750608663474E-10
C1orf54|79630,753.945996,2.102786688,7.19282573897545E-08,5.33009664537447E-07
CEBPD|1052,2919.281857,2.101513158,8.43235133654716E-08,6.15485138789379E-07
EMP1|2012,11247.68639,2.100840034,2.08646167659402E-06,1.12701650181523E-05
